"Long.est","Lat.est"
113.886929,-21.88343181
113.662508,-22.42150777
113.7073962,-22.86998737
113.7522744,-23.49775926
113.4829751,-23.72194929
113.3034423,-24.17042888
113.9318072,-25.6053645
114.0664618,-25.82955452
114.2011065,-26.36773004
113.886929,-26.54702233
113.4829751,-25.78475634
113.5727415,-26.63671825
113.8420408,-27.12999603
113.9766954,-27.39908379
114.0664618,-27.93715976
114.3806393,-28.38563936
114.3806393,-28.83401941
114.6499386,-29.05830898
114.8294714,-29.41699311
114.9192378,-30.13456047
115.0538924,-30.6277387
115.3231917,-31.21071241
115.5476127,-31.56949609
115.6373791,-31.79368611
115.6822574,-32.42155755
115.5924909,-32.73544349
115.5924909,-33.27351946
115.3680799,-33.67710133
114.964126,-33.67710133
115.0090042,-34.30487321
115.2783135,-34.26007503
115.5476127,-34.57396097
115.9515566,-34.798151
116.669688,-35.02244057
117.0736418,-34.93274465
117.2082865,-34.97754284
117.6122403,-35.06723876
118.0161842,-34.84304873
118.4650163,-34.70845508
118.7343156,-34.52916279
119.2729181,-34.43946687
119.5422183,-34.12558092
119.8564008,-33.99098727
120.2603497,-33.99098727
120.8438324,-33.90129135
121.4721963,-33.81159543
121.9659166,-33.85649316
122.1454494,-33.94618908
122.908459,-33.90129135
123.2226465,-33.94618908
123.4919457,-33.90129135
123.985656,-33.49770949
124.0754225,-33.0044317
124.4793763,-32.91473578
125.3770405,-32.64574757
126.0951718,-32.28696389
126.8133032,-32.28696389
127.8007338,-32.06277387
129.0574636,-31.65919201
128.4,-30.7
124.5,-27.1
123.05,-25.4
120.4,-24.75
120.5,-22.85
124.4,-17.35
123.8958896,-16.771292
123.9407778,-16.95066393
123.7163568,-17.04034989
123.6265904,-17.35423583
122.908459,-16.5022341
122.5493933,-16.81613
122.1903277,-17.08514807
122.1454494,-17.53362767
122.3698605,-18.02690546
121.8761502,-18.3407914
121.6517292,-18.56498143
121.4721963,-19.05825921
121.1580188,-19.46184107
120.2154665,-19.77572702
119.5871015,-19.95511886
119.0933852,-19.95511886
118.8689702,-20.2690048
118.2406053,-20.31390254
117.5224739,-20.67258666
116.8043426,-20.62778848
116.1310895,-20.89687624
115.6373791,-21.34525629
114.6050603,-21.74883815
114.2908729,-22.37670959
114.0215736,-22.46640551
113.9766954,-21.88343181
